"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"MUM1L1"	0.362552366186856	0.0256457957212279	0.00499098052401184	0.065280089727235	0.00655121216814435	0.0493252603860895	0.0338257545802793	1.48060119465562	0.0117718426970253	0.335414652511054	0	0	0	0.0205522668204481	0.0465077675605587	0
"ESRRG"	0.0430184091466489	0.0354702017394333	0.0101603850841343	0.250757884560828	0.0193115405779871	0.0860366180293948	0.00428304966163507	0.124195440663436	0.196022168271885	0.116551270197623	0.189065462092256	0.782533537166208	0.0208997469363383	0.0894486590419007	0.0293699085580124	0.0339980971200863
"ADGRA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRSS1"	0.0562896186761238	0	0	0	0	0	0	0	0	0	0	0	0.0753402590034766	0.394663397472399	0.185473825152654	0.0878769201618291
"GP2"	0.0335784782408385	0	0	0.011940615865327	0	0.00888103407838767	0	0.133851378466737	0	0	0	0	0	0	0	0
"JAM2"	1.04008934650102	1.24305361102357	2.46424480523043	3.06674277703607	1.67099211898944	2.94215601559615	1.88230067432299	1.35688187550341	1.61502072611998	4.41204983247852	2.62444485389982	0.445656261674196	1.18882499815289	1.75155798387426	2.0556277731895	2.40918453111806
"FXYD1"	1.84760411943981	5.16049065470713	3.31084759240714	5.63381769855088	1.73372527164954	3.25406941372898	2.01042538625904	0.548229946910687	8.37056100200637	0.878754763920548	2.61573644210053	5.98587949780539	1.28000904876242	2.66145774828675	1.85503688518596	2.45596235952269
"ANGPTL1"	0.246589286877156	0.305974021959004	1.48250757066542	2.65216981298179	1.03027815750529	0.684190815430177	0.195021852669573	0.214187610968136	0.739105830918974	0.723028565848598	1.16860994678915	0.186653946765822	0.19705287623328	0.621199015239125	0.559459997696415	0.241420429403755
"OGN"	0.532329428553217	0.83116868774845	3.19835034843708	5.14203351628277	2.33191011393734	0.290376627809186	0.5975368949367	1.29241661285135	0.726335123603529	1.49875380803454	3.37370388590116	0.426076319714037	0.484222704946701	0.111494636972389	1.49764046564651	0.0281442017840568
"MFAP4"	1.24732601203122	3.45490955923801	6.5260359373826	6.4834095087251	3.91095806539386	2.96918641537702	3.15462371178164	1.67490577543339	3.42264475598804	1.92800450962603	7.6643263882161	1.442224290669	2.81088211814144	4.32228151188057	4.56367067210314	2.52720673933428
"MYH11"	0.253812018593768	2.07021756825778	2.89924041492922	5.0749570641672	1.0496307677246	1.1784118904078	1.20282202702611	0.560043822939554	0.477710998690388	1.31717959291445	1.77318616361809	0.952369353709774	0.165755685395819	2.21176294736641	1.78141846936258	2.90770116247354
"LMOD1"	0.540903633751183	1.0169391158128	2.52192262526646	3.87400016581901	1.19190370290812	1.51288170373249	1.90230902336866	0.461403876736061	0.731509549238404	1.2718111002883	1.14117771350069	0.861891463444559	0.510688034328136	1.07466983668754	1.21452895209208	1.14334116985062
"ATP1A2"	0.456584866464198	1.51144273749242	0.159086361729307	1.65692648354172	0.0483685894022852	0.11573856569731	0.0693734503996773	0.0923540008894785	0.08115034653695	0.0147259751251393	2.239642441879	2.92255181720884	0.100980136287547	0.0167132427030701	0.408336331076705	0.148361727387184
"SPARCL1"	4.13901100797225	3.7461461265997	6.61498731540539	7.51631856657563	4.54810674004032	8.24755492730758	6.04752312068353	3.82416702933987	9.02900970582472	4.14158810445108	4.44744034203993	3.67660028212388	5.49578948468185	6.0835686785803	4.33470055478337	5.03704171633687
"CD34"	3.39258257949881	3.6159106087166	5.28111771744169	5.91386477109586	3.36564215115909	4.10655351873222	5.53540136389401	3.32206730824187	4.12415854218856	3.92158866648469	4.52555526110259	3.96654582661429	3.24041813857531	3.10581382696582	3.68757024604645	4.22046926419808
"PDE2A"	0.765679857213108	1.27487588744333	1.75578489991633	2.76502971471297	0.961785923263587	0.990142730268882	1.90616714313411	0.8819049832187	1.43380874429771	1.49368831904761	1.14132814923484	0.446660657238999	0.939034707220016	0.930940152038666	3.18618041624101	1.74305604178167
"LIMS2"	3.42206342021763	2.6857114513861	3.19856565799382	3.7734847526269	1.60780373597491	1.86767905520871	3.09103714224194	3.99047388188249	2.17470042477683	2.39423424623646	2.47624946686865	3.43769382246542	3.19546571808056	3.76060419460902	2.03857138408179	3.05352235908131
"SORBS1"	4.53089788168217	3.87803374133574	4.13168002031346	3.55005720473611	3.82866712061292	4.68214626833274	3.83928442556615	3.79162135173258	2.09695503035644	3.78633498041697	1.36182449432085	4.50007542471814	1.9138870248585	1.36686211833386	2.15925942361896	2.27304287077186
"PLAC9"	2.59867248379378	3.43228532422164	4.68386204598463	4.66648393083743	3.12685972841324	2.59211373965822	3.63247180728846	0.626755443572365	2.94951719102716	2.62989046418948	3.81168680211327	0.850270564672239	2.61057487196654	2.83223584412312	2.48070846288777	2.63269049103223
"KANK2"	3.48038146373759	4.94304925901594	5.07995191738037	5.10951100643051	5.25366598466161	4.58517588358157	4.54571822263796	3.71371230897591	4.60002587365926	3.48423482333943	6.67103855689932	3.65095981513646	3.05821777238437	4.41692078991942	4.6524578128231	2.57197284148932
"TNS1"	4.30995467176126	4.55216800535333	3.56738724872469	5.02534778269727	2.65742621442924	3.45022479574483	3.98120420791355	5.4899843980248	3.40823088251493	3.22951486330609	4.5490591920539	3.48769213995453	4.00680965449602	1.93797708046599	3.46538812811059	2.59557168803299
"C1QTNF7"	0.057414226019657	0.271164485204451	0.321872117233802	1.32412796944205	0.255680190228311	0.248054465021396	0.260462916037571	0.487537285257144	0.0101107456675366	0.143268540816178	0.693247408418694	0.0596879452266403	0.0323595879536367	0.172225067076095	0.179922080181592	0.124350172331532
"CPED1"	0.611366457876969	0.30134707982848	1.56796154966294	2.81633653659604	1.07243169952742	1.68427790601492	1.05562603803087	1.58144043357911	1.4780476667264	2.02955183024732	3.05456893860194	1.83563106021353	3.45261520112355	0.287317437934566	2.74788468385916	0.450039860641558
"RHOJ"	3.52804615231197	3.45999940412385	3.37637235231755	4.36264872415827	3.86666569578166	4.73267350996302	2.85966050812794	4.36212267436798	3.14955285058613	3.56743592716284	4.16968453222917	4.00223894750243	3.98548221434341	2.12209618817288	1.62125247682174	2.0852002800102
"TNXB"	0	0	0	0.00639998391401379	0	0	0	0	0	0	0	0	0	0	0	0
"MSRB3"	3.49815511025437	2.81880762290406	3.79106388306034	4.41602563232883	2.15708090920181	3.87949503116791	3.18211224293802	3.31320666336186	2.55769191081874	3.25048034236181	4.1851212246139	3.08984302084814	2.57091097127094	2.70163776720817	3.30603980952721	1.66799881942321
"FBLN5"	2.32737551292012	4.23000313767638	3.782539617754	4.52833376720196	2.46953697894731	3.99047842016497	4.17656612710781	5.66926634414375	2.45235162657769	5.19984310271492	4.69455151054472	1.93611965341265	3.08791849119233	2.66794433826799	2.98832021824277	2.10936223112405
"FERMT2"	2.90256275816419	3.15853657971578	4.77840046731303	5.12795512658408	4.54466157023547	4.34855466635981	5.01554886137335	4.70388973457694	3.29588388635255	4.21323450601523	4.54213420796755	4.14674888999653	3.47781977695481	2.85794119609473	4.53095092727542	2.15496227011156
"ECSCR"	3.57206503562254	2.53433432371939	4.57738954993975	5.38461799789568	3.03658421382632	5.85762027627561	4.6174130991862	3.22389513278428	3.36964096451698	2.84024265839479	3.07156533191087	2.60827936884165	2.87899992759201	3.26724513240576	5.55299947718866	4.69517817045965
"ANK2"	1.47040671081933	1.7925576226666	4.82133265703156	2.32000369950319	1.68214177261815	2.95294481150701	1.17582476539892	2.44029579518065	3.20226411848915	2.5565029891812	0.882797189424501	1.50435089467993	2.23694869813714	2.30306762494028	0.501125731003115	0.461534845712083
"ACKR1"	2.67727933227779	3.21258023294698	5.3210928934227	4.33930131822365	1.67599879641863	2.18151287312587	2.20382603217717	1.42444648464371	4.00285101222722	2.81769385575413	0.161583314156682	0.148695836859154	3.58597203395435	5.88788833579882	2.87662695554145	5.86091811631498
"ADAM33"	0.294131950854009	1.75362806759083	1.80836033618246	1.95832116967097	0.754483918572673	0.213696908201111	0.591888578193945	0.133404320754088	0.515827988059992	1.14105015787216	2.39632940135537	0.996609291989041	0.178828076679209	0.475720981589185	0.706544255589475	0.726062155877106
"PI16"	0.649785123818009	1.72668301718104	7.31896301675088	5.28757202734903	1.19356360188513	0.0523612181728391	0.743772592242127	0.0593018332209686	3.08813820388516	0.217701609485943	0.0693907748309713	0.0412815377066035	1.69893186900768	0.510756383869913	2.83877633424749	0.596044450424309
"SYNPO2"	1.2473958962825	2.39456901710254	3.23599811401502	4.14567337978016	1.50198427260044	1.59652492945001	1.17746498590472	0.804739626186497	1.07866448120083	1.02109163999915	1.90715987355099	0.725290066587726	0.846999499282909	2.28783277608294	1.245170091778	1.48930657735091
"PRELP"	1.97733121841169	5.27135096956878	2.99999819663007	4.24641948890081	0.820317045979951	4.71817528312111	0.648250978638002	0.666072114976631	2.11089438344485	2.31911498408735	0.456445561804358	4.96339320131048	0.317434900743699	0.984650592970802	1.41825742508808	0.799195504144693
"MYLK"	3.11745152577851	2.18599654054609	5.33650834504663	5.52125650734163	4.87803374133574	4.36896735186352	4.43116494164911	2.12730310578213	3.20752588578102	3.92838927455349	3.00633752465506	3.82354048043957	3.62940325189295	3.69454593901365	4.83835177949005	3.75495162051822
"NPR1"	1.75424188527788	1.033158666781	1.8520647759606	2.6333149530494	4.49241724007586	1.17736611492469	4.21199728324165	1.02764241808923	1.43834874827462	0.981740520482105	1.25687781171316	0.575429000300308	1.2769908789725	1.16079113991939	1.48172517635972	1.9148075033897
"RUNX1T1"	0.200005205861406	0.246568006220799	1.11671407551281	1.44251095415572	0.730237792776478	0.582263098963742	0.530223096364237	0.328368890950922	0.335510124676472	0.91968903322162	2.79475687395397	0.104876864732874	0.150841559444901	0.710465490431264	0.464922284418463	0.342303844910202
