"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"CD8A"	6.79153409866019	4.39777900799834	4.9010406452777	4.71407788050321	4.20430507696962	4.29679876809937	4.84165365840297	4.08265575887989
"SH2D1A"	4.1237158523813	2.5440822457679	4.16920347352485	2.00759739030929	2.30406998866748	1.03694284479826	1.62204478904717	1.41495003324065
"XCR1"	0.38536035030769	0.690990036759856	0.59013920978734	0.713764869020405	1.17376067279771	0	0.0494747809587144	0.36463798238717
"DCANP1"	0	0	0	0	0	0	0	0
"SLAMF1"	3.09639680418716	6.03352651945238	4.16304781962383	1.11957530394806	2.35244780940933	1.08410985867543	0.768543868401084	0.923694201305731
"STAT4"	2.89557600940792	1.51284378806234	2.48309860378182	1.92995191929266	1.90748101794706	1.19021028001327	0.858391259156834	0.989825305296505
"GCSAM"	1.09881366449446	0.74488312369384	3.44381481947251	0.578016542335623	0.77477904899825	0.281517846308854	0.404533683896402	0.462046558478055
"THEMIS"	2.10736481674056	1.35600291515793	1.81431662024673	1.43462555906539	1.35611281449104	0.585823532668096	0.390324853444142	0.796535460171447
"CD3G"	3.33834311381032	2.4635152184634	3.82673151364181	2.46373230254621	2.76505518272631	1.29961393108321	1.25863047675483	1.91003608645283
"KCNJ10"	2.28439123834625	1.03276383669042	1.95607152548049	3.18943478094043	4.89311219315706	0.503682017744556	0.953242885916574	1.48884659533303
"IL9R"	0	0	0	0	0	0	0	0
"CD3E"	6.16747635426606	4.19012887614672	6.56114739251436	4.48206736468845	4.65836002984084	3.60848400836598	5.33762903740628	3.8595670874816
"SLA2"	2.96377372952542	1.48152369923355	2.96058955127661	1.44510426121192	1.6963054728172	1.53838916849661	1.52141513474625	1.504417002555
"PYHIN1"	3.64998327066957	1.76422087145663	3.23120965830877	1.41888346247529	1.94263648415342	1.33295707236286	1.55521490685919	1.76594628007042
"LY9"	3.45355247739549	1.78023029711062	4.70850179092829	0.781989954884548	1.93558043881256	1.24563864743999	1.70720891830842	1.05753761107777
"PLEK"	5.5724501250394	4.60567507425061	6.40570311115709	4.47647566059866	5.32110552425915	4.27374339088849	4.02563126857068	4.18313314191025
"CLEC9A"	0.589607705854353	0.823538646238484	1.25787356254275	0.602661159620769	0.864299871598729	0.0710774666846087	0.915561819553875	0.470349959880173
"CXCR3"	5.05188321945598	2.06779529860769	4.79982297585738	2.75041999282667	3.01216548491154	1.73085946795303	3.12576762995301	2.74256355710845
"KLRB1"	3.98248711695648	2.99694727587169	4.05607190516211	2.56235844582356	3.23418782375806	1.29005867029721	2.58076175509223	1.7574457491589
"CD2"	6.08101786580691	4.06992552994245	5.73945930015268	4.22110759317781	3.99861525009166	3.67175758740136	4.40302566198655	3.70889902543782
"ZNF80"	0.611086429694086	0.378908309848067	1.12747480566315	0.268875698529705	0.187340828549015	0.125046259545102	0.0122569318847873	0.136553721097762
"FUT7"	1.05747869256303	0.356005733194133	3.73520804282731	0.959154003999919	0.647782820076605	0.647810444268122	0.55010376180455	0.486788500684134
