"Pt22.baseline"	"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"CR1"	1.79499802579459	3.92184569647296	1.96346302627804	0.959858791078535	0.8348863346834	1.45694016385664	1.1770184179937	1.00507152612864	0.284239308014175	1.64938093021008	0.906592792617753	0.748887537922379	0.765507589494848
"C11orf21"	1.01034947197844	1.0140552954925	0.825869867000689	1.58282813851397	0.377375330985844	0.557117918822793	1.21359302448636	0.556382326292168	0.713098380223959	0.361969873562629	0.529017810144048	0.238403516377771	0.675378315043833
"EBI3"	3.45509110866792	4.29691987668713	1.74481123846316	4.16627357203004	3.32910636997928	3.55800429980864	1.62189011137621	1.31346354588161	1.03298241669943	2.02610598264928	2.56593709519504	2.07216412466578	2.52005005434848
"CEACAM21"	1.79075952889123	2.70139380085249	1.07249687050343	2.64948325385893	1.12370592133253	0.552530530663054	1.09019831172885	1.11726615943332	0.991881516980805	0.874185141354483	0.919904082155129	0.917704800881448	0.76707294221322
"CSF2RB"	3.67233481708969	5.408226126277	2.9549472471103	3.6119926648488	2.18682538100811	2.57035363180701	2.95630947371938	2.56914228507484	1.38535372323457	2.71253525421382	2.029818593104	2.08780056208707	2.24481400942399
"PIK3CG"	2.29416195405999	3.60817053137482	1.51409195378589	2.54473018344543	1.77473224932377	1.58099685749506	1.87222989219487	1.30138571369311	0.738421116062101	1.22364496114767	1.30359957813371	1.30130376184086	1.17622701536701
"CD53"	6.61645327355354	8.18766878794532	6.24760761730328	7.12331959186363	5.34728650931023	6.1168658365007	6.39437866000007	4.98930025677575	3.68413424862587	5.07677071250691	5.36193675757209	5.40860317934337	4.86459969923226
"AMICA1"	3.50500802489356	4.25418584650111	3.87654641407766	5.01459854870478	2.59071817763724	3.66226247700561	3.14698914065837	2.9606794340551	2.36901692372225	2.01820151438372	2.98186452351656	1.99054830791249	3.06261738043315
"CCR2"	3.48357589919777	1.95991478833819	1.30617764736476	3.93465802783973	1.41288176545508	2.13645554988708	3.08263958073466	2.08486365020238	0.910326654950516	0.866516746102473	1.87680177397827	0.833559674187657	1.7282731912064
"IL10RA"	4.86265223382194	5.08347294488805	3.92424243739629	5.10281137808169	3.85002927361382	4.16336991447478	4.47348171881866	3.26597540568222	2.93878260325451	3.0966312517564	3.33902475907274	2.66773774519594	3.33950870280108
"TIMD4"	0.293575307638369	2.50503725197336	0.251646993918391	0.440916063778679	1.03596096836593	0.343154795463011	0.713279660465565	1.44226676292805	0	0.821168949828029	2.68513618528212	0.0462704657003654	0.4640879359887
"NCKAP1L"	4.61822984432033	5.60645407286986	3.96630586889213	4.64106331598532	3.88181142613568	3.95607524372355	4.03948498520386	2.99995401336266	2.09786695337745	3.40812284410068	3.08240369980223	3.2408767944079	2.63859983248585
"SCIMP"	3.20657133747421	4.91907306856591	2.39098403136532	3.03969728608785	2.63379852187873	2.93493632231048	3.01731264145912	1.56361210512391	0.505426551032837	1.56371947610304	2.67056957860198	1.10461175217503	1.1578295384538
"GPR183"	4.00855411707405	5.73841657614816	2.3756122239921	2.640977162172	2.24794118101607	2.56690037398574	4.54969073090972	2.54239797820794	1.80519338301168	1.3900485474166	3.11404296525057	2.15561486411334	2.0894150985696
"PTPN22"	2.22845854886613	2.82579987121011	1.75038568914241	3.14648986311	1.31788866980153	2.11295695964094	2.32000081025886	1.43322921945025	0.356238483980885	2.8917030315307	1.57183453924183	0.682681158365227	1.09789728471786
"CRTAM"	1.57343027467316	2.15009494995244	1.0909482523611	3.33350531238825	0.771770665285636	1.5261664908375	1.5218673626834	0.914004174490787	2.79092213705198	0.335998248866441	1.02836970703797	0.294630746641727	0.874718682571495
"EVI2A"	4.47952160643832	4.62854031926276	3.43412911893476	3.52327966201935	2.6222181958083	3.35322235544478	3.9226117549415	3.47947633659171	4.08797193790006	2.77780578533487	3.41824258038755	4.68251711654028	4.11793187120634
