"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"SLIT2"	2.52292577547496	1.22716499163737	2.16144916540209	1.82015036357517	1.60498221186552	4.18365324448266	1.08034726293755	0.703701402069589	0.945764623313242	0.975413013702918	1.47126811376147	2.28819316699726	3.46544559699839	1.84422896082171	1.15806875919698
"ABCB5"	3.59586763012918	0.909733556669673	6.77598551372545	0.312306778465926	6.43500261262376	0.226419745843552	7.2205814758116	5.28250096626948	4.83536830736488	0.915686098518858	6.357763994838	0.0546012358669872	0.315417258133829	0.0519217734427679	4.89419205567321
"ABC7.42404400C24.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RBFOX3"	0.0287917626677928	0	0.0417014452512481	0.114219615969665	0.0691919438505618	0.253476216779829	0.0512714402103747	0	0.182989703546374	0.117105478248114	0.023688202344297	0.0107409606409521	0.051076710562897	0.103625537887475	0.101973066481947
"FLNA"	7.02851942609714	5.80561491040657	6.80513120116697	5.97996815814383	7.62354134690553	7.2558972309602	7.08978943159457	6.66492365970533	6.62582863656511	7.22590149915709	7.14025206596478	6.34637189442288	6.46477280633474	8.47497135706488	6.92900979976455
"SSC5D"	2.79150987522962	1.85602157971952	0.699742172948742	0.998934897988822	0.92192489055922	4.12184429787638	0.280550758597917	1.30394144449747	0.371035773416983	0.483097055539759	1.69835407184838	2.5599029043617	3.52192388120965	1.18986882719935	2.62129233723885
"PRDM6"	0.410632002501184	0.068765451106784	0.52382738752559	0.342450066645265	0.161665216157669	0.246521187671844	0.0171980278431829	0.310229005545846	0	0.161900577917391	0.396555189292863	0.471480392704519	0.310985117054275	0.113732632772193	0.261098694209599
"CLDN5"	4.28081901378835	4.38939128236584	2.73325128728753	2.29316003904151	1.60046482771001	2.49169663558366	1.11363049608964	1.79312179956759	3.3154032006256	4.82666033948666	3.68334836915629	2.00878804647434	3.03329788912285	3.36836676868945	3.61953626243574
"RSPO2"	0.00930696544375312	0	0	0.18357353405645	0.0183837102243252	2.32916091926258	0.0525427678274881	0.0161314280888909	0.0446015027939764	0.0377631416072174	0.00851320690219849	0	0.103330448601125	0.123997336079612	0.0351350699916564
"ZNF385D"	1.69113882124776	0.64870334154121	0.535751892806536	0.996771967912523	0.150505866946049	0.813548494595682	0.0987463034511382	0.525396900347677	0.330176881516811	1.08127826388149	2.09320351463121	0.522405329279171	0.701242964649823	0.584090849651329	0.793408591642528
