"Pt20.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt14.baseline"	"Pt10.baseline"	"Pt32.baseline"
"GPR183"	0.813461547708449	2.99368412339628	2.06095153521491	0.683213639535558	0.401896039942518	0.767507924643308	1.64508843778264	0.538524829023882	0.309081914360765	0.262837384164503	0.416002826651479
"GCSAM"	0.141567287036064	0.864220060125498	0.0614898193244998	0.0277939648152264	0.0198390289218496	0.0464874200055646	0.0875581683873948	0.0329773783379573	0.0333827294058631	0.0134300748969394	0.00759641894243524
"PLEK"	1.7512579635728	2.29659158025023	1.04044103671223	0.949777822461776	0.295161721293481	0.785910477795023	1.55083158443282	0.632372261040173	0.827073795777393	0.274804228033848	0.1867477530511
"AMICA1"	0	0	0	0	0	0	0	0	0	0	0
"IL10RA"	3.20455047163372	3.07934715540488	2.61205369939336	2.16751322195741	1.320945274732	1.64935642056169	2.95330384435925	1.65977277094853	1.53442016823817	0.481353366103307	1.33433317000658
"LPXN"	3.25960325038916	4.53106695232378	3.22761419068178	3.3592601264379	2.18041898112188	3.83279249315586	2.92159408018196	3.05085384142274	4.37597252643791	1.29183293502687	1.53374069686397
"TREML1"	0.124757929933651	0.371117878596484	0.0688812008386718	0.140655111474547	0.0412211058383136	0.0497319313148571	0.0522184587049331	0.0753875850589255	0.0228772957968582	0.00514931913535208	0.0468330263874804
"SEPT6"	0	0	0	0	0	0	0	0	0	0	0
"RCSD1"	1.56438241476812	3.04518000339542	1.1522371627197	1.21676035660231	0.27232990604636	0.764039645956048	1.49891042337716	0.508342069393474	0.505240760468797	0.309817750101085	0.356387341489777
"XCR1"	0.0609635443600972	0.0915296561972334	0.122064123889635	0	0	0.148764255521608	0.229671692878774	0.0177236501116854	0.00913229759327596	0	0.0424418243981941
"STAT4"	0.438884119360303	0.30215063410229	0.203885983448619	0.0986057658884318	0.0166473897154492	0.106268468488835	0.199163513267059	0.119820378113934	0.0368282463301697	0.0706214809421131	0.103912598108804
"IGLL1"	0.481064350129598	0.103933586663137	0	0	0.0133687691371365	0.0646462746443836	0.00483956851740653	0	0	0.00360568276455127	0.0343628164164196
"TNFRSF9"	0.457899198705802	0.851476834215032	0.381435990111502	0.139973933719439	0.0485125641491601	0.0978300447283958	0.174959176874565	0.065091779099901	0.121773417177301	0.00211471046260797	0.0543221236952077
"CLEC9A"	0.0671059682932773	0.164335199837907	0.0674348916944526	0.00685336272036105	0.00908303179950365	0.0673582312412046	0.10489999474798	0.0769505638546173	0.00544254887956313	0.00111741686500749	0
"TNFRSF4"	1.04471132489277	1.17192714045255	0.719957722274974	0.870126666384973	0.447602493485316	0.445389344069912	0.527560254419621	0.574206313564376	0.321519585028267	2.27078152560865	0.539193737762616
"DOK3"	2.00370044959335	3.23531418849187	1.32986166953839	1.90570171658485	1.40555791437	0.6864711860611	1.59506546674225	0.783180124519375	0.990368618937195	0.725175223408586	0.619319470702386
"PIK3CG"	1.03094516888185	1.68748446240493	0.643285256873039	0.485891181330834	0.116997916988898	0.39845271739579	0.864938763666489	0.334885224350166	0.371521292352151	0.13692515443622	0.180925947729947
"NTRK1"	0.142904188681696	0.00581105759881458	0.0536764707317504	0.263145827864793	0.344017861832607	0.052547776700112	0.0692692046012907	0.0591500221913174	0.0218449020620534	0.183772914640608	0.148484094914383
"PIK3R6"	0.159730511698359	0.136488249921341	0.155775899748657	0.152684114657453	0.135462014386718	0.0607875771746448	0.142967684057027	0.0863005438627441	0.110622017161147	0.0182307376651975	0.0244785123759924
"WAS"	2.23012594074955	3.47146968012255	1.75661261334871	1.58822779562779	1.59087437837925	0.880502538069439	1.93459156767107	0.950845756842444	0.777915429119592	0.488321799145949	0.790426179472002
"ICAM4"	0.0817729765306811	0.0564685128956472	0.138449521038753	0.220181267572597	0.189186505967174	0.0223796497646402	0.13827993315853	0.0252830924781259	0.00785712804863648	0.167395936866942	0.0315270090175076
"MCEMP1"	0.0359218938858056	0	0.200977255088463	0.445578494302416	0.00329297644962698	0.024473739148578	0.071620285866529	0.00661104678353455	0.12541639446864	0.29343171188866	0.0265078605872904
"MRC1"	1.70783356820533	0.5104189887937	0.208377470071168	0.22397680258681	0.0231952283275981	0.403508316461806	0.444149147304996	0.823681083911833	1.47321604619792	0.766658257583951	0.521319963361336
"ITGAM"	0.317807196111085	0.213915008548105	0.589421237134427	0.540313568121963	0.188762710892218	0.285625014730683	0.589308276960419	0.129677386799403	0.316126088999986	0.190569482536205	0.117564779561707
"FCN1"	3.0142103061757	1.03317142960724	3.2267807246134	2.52528085336001	1.76689607820255	2.11261250125939	3.21512466043311	2.47185965277928	1.23821502688731	0.605235398947038	1.84319424676552
"OLR1"	0.179973848152433	0.00875125157884945	0.64676431874139	1.43461194085476	0.175672501020703	0.113571568142034	0.586172236326067	0.132657186776862	0.154555844579536	0.176823162433715	0.0405133164198905
"CD300C"	0.436377951302301	0.205431511761997	0.498834026346848	0.486847567185453	0.339998323427021	0.227095675619981	0.402325036428103	0.115554440112232	0.242462395060561	0.209272134727074	0.110386745726981
"CLEC12A"	1.07237628007442	0.193962832922402	0.642386230051506	0.486072366640639	0.13601515694072	0.721398304510808	1.12424066974924	0.292116786575253	0.265745036466069	0.0561931913456554	0.164975821153894
"CD33"	0.870751499788823	0.25918720661541	0.575251917066567	0.593353532056394	0.190387073922491	0.301858278481669	0.903125480568025	0.528881523294216	0.392470231760899	0.140948233919545	0.144277477696827
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	0.30500071495048	0.38479960535684	0.200341755367505	0.452813856810085	0.221138985381144	0.139074671659056	0.293241844472614	0.156595473570183	0.0698005600592819	0.0346827139668522	0.0912829338097923
"FCER1G"	3.19369649301474	2.67087535649106	2.64946064494921	2.77733493030805	2.9692051453565	2.0718212389353	2.49334401575108	1.18284294659397	1.8625932622425	1.15630680593701	1.87178994223569
"BCL2A1"	5.84893773587516	6.12797783002497	5.1044717608637	5.82697404051167	7.70039733232231	5.25586922995056	5.84422777303535	4.85089175943911	4.72167191859082	3.91600728959086	4.24691272455978
"MMP19"	0.56727278361643	0.659924573855598	0.754468612558377	1.02567871093418	0.715021515887706	0.935980560326847	1.21897742897918	0.762203742271966	0.578028182251154	0.944419759313516	0.966742695498795
"LY86"	1.98129756362785	3.59893820396149	1.82746681436135	2.59729705575755	1.62936093437034	0.913517229138837	2.1034920035666	0.797020847056208	1.23083799073029	0.37898554683718	0.963520674866469
"LILRA1"	0.136626944448545	0.117438492168947	0.188684363561436	0.143672339690966	0.0717441646681067	0.0376671968900865	0.293530318106923	0.0507254492933058	0.0456722249576256	0.041778538386982	0.0136006632596272
"CEACAM4"	0.530202766380209	0.378036164276097	0.391350117027954	0.261136249197219	0.0424739260099413	0.109150792272733	0.24241168783144	0.217557444629226	0.130568402069296	0.0481986542561358	0.304316116452654
"CCL13"	0.599081851565086	0.0440077317564744	0.478130112609376	0.33503681390332	0.0554600997048626	2.17790691539351	0.377261816729583	0.896134544299695	0.970502962995578	0.0681313429706168	0.181138191553127
"ADGRE1"	0	0	0	0	0	0	0	0	0	0	0
"SRGN"	3.93214890093251	3.94635781731144	4.50338429347492	3.21555669140666	1.72792575207033	2.37689691995207	3.81760486952315	2.47254274129219	3.81483075792941	1.80081870367253	1.29291195295717
"NCF4"	2.6388963522664	3.14389847350475	1.80425449955554	2.31748571556164	1.3480272836087	1.36002644735258	2.20727933700681	1.39990631226426	1.38842725653364	0.504808441514131	1.74031427663664
"CRLF2"	0	0	0	0	0	0	0	0	0	0	0
