"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"WAS"	-0.705514763833564	2.90435433366958	-0.211417185032117	-0.16920759008326	1.17347425240443	0.180244295322399	0.416070361251952	1.0259755815948	-0.376437880031419	-0.709836266121185	-0.581928774274657	-1.12358325552514	-0.590210680156761	-0.652554972337933	-0.580985045951084	0.00155758910395697
"LAIR1"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"CMKLR1"	0.681495641439214	1.08723204994651	-1.3395014501645	-1.95684677529489	0.750346126875588	0.43662270762948	-1.98097426840855	-0.603792456694195	0.66529381743797	0.422111709096425	-0.353207918890584	-0.297078666919733	0.911483707763627	0.764378348461646	0.173212470789447	0.639224956932538
"C1QC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FCGR3A"	-0.365913743627631	2.60611090730569	-0.365913743627631	-0.365913743627631	-0.365913743627631	2.51668150348114	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631	-0.365913743627631
"SRGN"	-1.40723974158221	-1.02197826973492	-0.964876047060857	-0.80595122506588	-0.265399909915768	-0.644806235403344	-0.753521260332253	-1.39432283364805	0.739195544591952	0.409654909797698	0.850446791242431	0.975600915919925	1.34850133061609	1.37935866915027	0.973428091752023	0.581909269672901
"HAVCR2"	-0.318007084053266	-0.147630045130562	-0.0884492500557489	-0.180802116904923	1.01909809455716	2.87077258172975	-0.737568085418183	-0.655025870282106	-0.82083775166722	-1.01257209479918	1.01551093458107	0.443574242966185	-0.0721640775935734	-1.2517155259906	0.170942312141571	-0.235126264080377
"FCGR1A"	-0.345467013500605	3.32189644283234	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	1.51464174617614	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605	-0.345467013500605
"FCER1G"	-0.38863111341395	1.30886759443286	1.32332741372212	-1.04403814795289	-0.947042591093357	-0.507057648636308	0.251857386767565	1.96762458000678	-0.785493726100579	0.0293741901927295	-0.947695343820732	-0.870328733244933	-0.953413350366434	-0.375197877638957	0.92000466111835	1.01784270602773
"TNFSF18"	-0.390177705668481	-1.25787132670142	-1.25787132670142	0.738223672833777	-0.805510152638784	0.740641582023308	-1.25787132670142	-1.25787132670142	0.300160712476856	0.454235271473717	1.42992013123135	0.374881657171085	1.38873526429819	1.46447233339343	-0.354609407100893	-0.309488052687869
