"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"UBASH3A"	0.398452852597231	0.0728656137541919	0.250644454210247	0.050374541016616	0.0885058867969025	0.0979072512316588	0.051910597307962	0.0949376353369236	0.0551197476166357
"LILRA4"	0.136161997461684	0.0640487622849742	1.61344485758824	0.0669540224444314	0.150214692901615	0.158158541064121	0.187613422543842	0.0514778393441891	0.0910236708958424
"KLRK1"	4.90802317766674	2.17811950026553	2.6403486453602	1.69340168928579	2.2209524578518	2.0293210376145	2.04790999722663	2.1976910874258	1.88520317536535
"SLAMF6"	2.01525629045392	0.924808190092731	3.0570644453395	0.74742965380091	0.701977255053031	1.15282899480943	0.582828322738663	0.84057883426239	0.612885914050769
"P2RY10"	0.887388254372278	0.528091314198392	1.94399728124288	0.34200608020821	0.610898186777495	0.663218116795634	0.143012439754428	0.127911215256272	0.324104032940618
"TIGIT"	6.30665206438106	4.5195908038553	6.01461310283955	3.4721599281739	4.26942924600293	4.23518470769904	3.83937028372977	4.2011458274171	3.76004641166548
"CD8A"	2.71993079843734	1.02178175615331	1.23362140166407	0.442208011087679	1.17479214355538	0.899191456390462	0.963023641099333	1.29510130751386	0.892597213165723
"SH2D1A"	0.927711111480787	0.341949870320836	0.893512329100056	0.17967197011478	0.216999398792192	0.275924816370773	0.0809846155583858	0.160611721433556	0.132988954638343
"XCR1"	0.0609635443600972	0.120760271267332	0.0915296561972334	0.148764255521608	0.122064123889635	0.229671692878774	0	0.00730432600366288	0.0604328697011082
"DCANP1"	0	0	0	0	0	0	0	0	0
"SLAMF1"	1.20734824284496	3.61715716399333	1.88572404032508	0.333036859136028	0.261732356744117	0.760276767131534	0.255912651216323	0.171023984830545	0.219179181571877
"STAT4"	0.438884119360303	0.141625996736678	0.30215063410229	0.106268468488835	0.203885983448619	0.199163513267059	0.0986057658884318	0.0653191802880889	0.0805660836225394
"GCSAM"	0.141567287036064	0.0861319367414915	0.864220060125498	0.0464874200055646	0.0614898193244998	0.0875581683873948	0.0277939648152264	0.0428737660947332	0.050986625829627
"THEMIS"	3.47570308948211	2.53876555156475	3.01438813881229	1.7322618829515	2.60859372553283	2.49878588108868	1.34039592872156	0.986310133804531	1.75681662170848
"CD3G"	0.912667544163816	0.52682800860691	1.12042364723288	0.254951918898431	0.513907172122178	0.629618478890901	0.190916253297331	0.187988500509767	0.358215471328049
"KCNJ10"	0.390436948142269	0.117216011435161	0.278047671538612	0.0501108730784493	0.711952593056713	1.6989646505002	0.0475834076817389	0.107774997218399	0.205455029967154
"IL9R"	0	0	0	0	0	0	0	0	0
"CD3E"	3.45640604088129	1.78587986169486	3.71048247430597	1.67987917522154	1.97834115386006	2.11349075035461	1.36498893696159	2.75047563135866	1.58869756443561
"SLA2"	0.544381807732418	0.1657841249794	0.506265381179463	0.104950362154716	0.155249521233715	0.198099624586177	0.174194034485951	0.176477219303834	0.177165016792895
"PYHIN1"	0.499763882990249	0.119794838396247	0.35209595051179	0.106192875493435	0.0822762593766827	0.136623209517089	0.0764527937482452	0.0999004742719934	0.125376064145475
"LY9"	1.5511219489109	0.561642220804587	2.45493931258218	0.345827469953308	0.184624837085149	0.617284269157345	0.340083995106278	0.539386761578084	0.288407162620415
"PLEK"	1.7512579635728	1.13460551427627	2.29659158025023	0.785910477795023	1.04044103671223	1.55083158443282	0.949777822461776	0.849172092859011	0.941282971330602
"CLEC9A"	0.0671059682932773	0.101895750069097	0.164335199837907	0.0673582312412046	0.0674348916944526	0.10489999474798	0.00685336272036105	0.119384548984362	0.0543117063460601
"CXCR3"	1.91205570761961	0.352118467610768	1.64186885747	0.495361535306623	0.567094217262963	0.670583144704425	0.26202981372662	0.752887200166674	0.600290561586222
