"Pt22.baseline"	"Pt9.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt4.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt2.baseline"
"PDK4"	2.69431023928047	1.81430965198899	2.5332366935953	1.29034218912207	3.10784796954211	0.692634154830997	1.32071892795021	1.48195601524697	3.41741012586487	1.17336969616662	1.84794678292241	1.12566392486932	1.46599135651621	0.69104626987434	3.04742414441689	0.323892105662845	2.72161152854754
"FHL5"	0.733862767634974	0.0545822155798757	0.405483788226739	0.082994898931738	0.0313458793909575	0.0083766019949839	0.0567879794191372	0.0728869675585532	0.0328494578205367	0.0107611129507424	0.172189221613368	0.244462150766435	0.0226546448386934	0.0206728826279504	0.0188368905097455	0.00509988420130546	0.00946429080761945
"TGFBR2"	7.44852301775255	7.06218918857083	7.74544084890006	7.33794059569736	6.86495840784435	7.53501200875283	8.84800694239002	6.32594602964214	7.0399674035281	6.68667537929673	6.42767433847978	7.26127552335106	7.18549708402133	6.5610056977772	6.82036690605029	5.35195125277047	6.11133168573488
"GPR146"	0.866118636107895	0.772381377648365	0.896177946078781	0.65629655939347	0.64398338603214	0.432070197593921	0.362446538896137	0.478190761686046	0.386258267823775	0.607033215847133	0.710189387275955	0.722171970840977	0.432940329915673	0.732109059872987	0.640445641361166	1.12627286792712	1.74141159645139
"ANGPTL5"	0.0739517435806208	0.194626174075175	0.077442204322354	0.00848974226724509	0	0.00689314661160405	0.085709183067921	0.0067258253734715	0	0	0.00163847755627407	0.0328700128472818	0.00710270230965993	0.00894229551119204	0.00727224960377975	0.0129226564023829	0
"FAM180B"	0.0535059279926496	0.0958348480532383	0.107930438135016	0.190469723588679	0.0878295987125619	0.00404714326757362	0.00215286446876255	0.00527070861625768	0.0258052373595158	0.0442296749510656	0.0983746069857708	0.0959732013269939	0.00397913983909835	0.0527815796059327	0.0368875380955831	0.132823584268399	0.0575074204811796
"PLN"	1.97143125212993	0.734907474802737	1.17797812355822	0.174796625890196	0.185975168812997	0.283779132112285	0.185205494798978	0.136300721700778	0.178613449633842	0.215307028518961	0.30132469697595	4.69899068784662	0.168389001425331	1.17536301790726	0.0378606718337686	0.125694188900039	0.132695341092072
"SCN7A"	0.432044611409981	0.488696106133262	0.138226926760094	1.60768954943086	0.972666912643568	0.674872499268557	0.129475415880158	0	0.107554612125102	0.115708443953095	0.698035921825374	4.2635165175361	0.0400673616809291	0.0471794159629402	0.00952786205225832	0.251688396169625	0.480037174030173
"ITIH5"	0.937587420819415	4.43997441113055	0.732594862814297	3.47256008712225	4.02402617355474	0.298849416705973	0.30074464969309	1.61682363793427	1.23328258068904	0.107311575044911	0.226781153467969	0.0950613112266379	0.862742414960469	0.0150731982717653	0.0237660522968611	0.0435982012904007	0.0262776045599222
"TMEM100"	0.327246062653726	0.14143919515213	0.137569512799459	2.16526289380679	0.08736367937712	0.0767786469195923	0.171823195871753	2.34815803614156	0.0155546829295758	0.0997074923900676	0.0382988387078563	0.441329730307301	0.0641246196163339	0.00694160862731468	0.0158262304264242	0.056466650800264	0.114423786850398
