"CAF07_5"	"CAF07_6"	"CAF07_1"	"CAF07_2"	"CAF07_7"	"CAF07_4"	"CAF09_2"
"CD300E"	0	0	0	0	0	0	0
"CD69"	0.51050414192616	0.589944501004831	0.196146987489885	0	0.0224822191184107	0.0240630481573202	0
"RGL4"	0.221945613606154	0.156947069438768	0.222600788881299	0.122876677404851	0.0961336116896526	0.151450755568964	0.211722124175836
"TRPA1"	5.83753425293354	5.87157032444173	7.06931544880676	6.2157201339056	6.0763833018944	5.64792250890181	7.58026035695076
"C5AR1"	0.327565891545471	0.441786593978826	0.487142967159347	0.688273574587668	0.851559217233515	0.690717605583034	0.381659391094741
"FCN1"	0	0	0	0	0	0	0
"CYBB"	0	0	0	0.0471740106291139	0	0	0
"SP140"	0	0.147517898779406	0.0148487631039558	0.0609949797530203	0.0859175961691543	0.0171349920630701	0.0219862607418277
"RNASE2"	0	0	0	0	0	0	0
"ATP10A"	4.63561324941919	4.60450050611028	4.48980153023947	4.49979010082091	4.75081465951464	4.63513517186236	4.96612006235554
"FYB"	0	0	0	0	0	0	0
"COL6A5"	0	0	0	0	0	0.0321603621263777	0
"P2RY13"	0	0	0	0.0728362641750121	0	0	0
"CCL24"	0.0143817353902089	0.0628219785167727	0.0138163227281968	0	0	0.00799425986857236	0
"TMIGD3"	0	0	0	0	0	0	0
"LAIR2"	0	0	0	0	0	0	0
"RGS18"	0.167888150950771	0.0644525542208809	0.0226235004479098	0.0135335810342262	0	0.0260960060254915	0.23861799315146
"CEACAM21"	0	0	0	0	0	0	0
"MS4A3"	0	0	0	0	0	0	0
"GJA5"	0	0	0	0	0	0	0
"QRSL1"	2.47834087088546	2.0914691668159	2.90062380371008	3.20254019463597	3.04814446462418	2.91751153986977	3.21822753998755
"HAVCR2"	0.324009340752606	0.58821412816818	0.133225489749477	0.157535609946576	0.0733607424942798	0.152802477729227	0.0341220013762988
"ANKRD1"	1.00608223875013	0.883079342063146	0.988058830818062	0.789664761671303	0.311567189879211	0.567422434757027	1.9653306415568
"FGF5"	3.66142038582975	3.6526589632902	4.2468988352612	3.20254972037375	4.27652531648733	4.07077105818613	5.15989777860548
"PVR"	2.83032606373831	2.89018639188226	3.33652542058566	3.600180388791	2.90761679281099	2.92092595169487	3.69847246519123
"DLC1"	10.7217432619433	10.6887425299904	10.2900313190394	9.5591050404586	9.82450195726964	9.87834752287376	10.4244023937143
