"Pt20.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"	"Pt6.baseline"
"CD80"	0.532034350601361	0.771511848907383	0.338978633477402	0.0247916619342613	0.322263734636546	0.233656250153769	0.0344139588395583
"JAK2"	1.07782312911528	0.900632538464728	0.78235463265448	0.176526076448932	0.754738742915067	0.447278841672021	0.577531317001677
"LYZ"	6.03103975816116	5.08166877577609	5.04174880529354	3.31364192108255	2.96995873617928	4.40284594637254	3.07000504443168
"CCR7"	1.67655781191441	4.03179251235824	0.461719785217359	0.25579425194312	0.240913804926093	0.343505826311095	6.41038490841494
"CCL19"	3.51113765912215	5.14603183150656	0.832086192232983	0.0400925241853748	0.611003247330607	0.557398929931878	0.0031597282518312
"LY9"	1.5511219489109	2.45493931258218	0.270624741769781	0.105727726229108	0.15903185503967	0.255986972331024	0.0280298083040474
"ZNF831"	0.496762298921636	0.591691783359589	0.0466843462040138	0.654819750440065	0.0355978660344417	0.0695540728742038	0.0109132907327727
"CD40LG"	0.14547087098688	0.537011673001826	0.0883505779548878	0.0443060111683051	0.0124260142974338	0.0358826579864365	0.0135526399231025
"CCR4"	0.292889477612199	0.780713964620172	0.271984536414666	0.088446314515892	0.104476332021015	0.119781731357997	0.0207979508122088
"TRAT1"	0.476118266030467	0.189926809221835	0.159339999170635	0.00239735922052672	0.0321969728164478	0.0532155832106889	0.0146203353618553
"P2RY10"	0.887388254372278	1.94399728124288	0.16610693760732	0.0125876837144569	0.104441815390438	0.193486169755535	0.0583884707680758
"LTA"	0.0110535741537229	0.105039610326602	0	0	0	0.0120305285302351	0.00507300922121443
"TRAF3IP3"	2.03797198585606	2.56328573060727	0.484724278673695	0.244477133638767	0.367004325552907	0.363375917339739	0.184098739485789
"CD5"	0.629463985675729	0.859782615384662	0.103812458331378	0.0788967235448842	0.0798003400118	0.0773848163439306	0.0215672893978606
"TESPA1"	0.0304060721620489	0.137711872853599	0.00703363451060273	0.00188867072855105	0.00388552412706638	0.00675889119175803	0.00146518700375729
"GPR174"	0.34136736619937	0.449622433837449	0.0879831611525446	0.0120537537569188	0.0343347822378842	0.0769975738828386	0.00184462688832573
"CD28"	0.362049111917141	0.498868440796464	0.0875563006489301	0.0338626001398707	0.105321120168444	0.209924224513968	0.241717780832906
"LTB"	0.744931847328429	2.56951256090519	0.160356234387814	0.155738099545711	0.0431648632726446	0.117575059530624	0.0365482517321992
"SCML4"	3.53785687024436	4.53910766599303	1.33652632628085	0.582909342326931	0.413688726510538	1.16920029729328	3.15123268626592
"SH2D1A"	0.927711111480787	0.893512329100056	0.159583604206614	0.0399136913696273	0.0635021386886835	0.0868268681915305	0.0116075675479009
"PYHIN1"	0.499763882990249	0.35209595051179	0.0576302482470641	0.0124127601938256	0.0545282167972642	0.0591817152627918	0.0265925446089264
"IKZF1"	0.812090913744166	1.68876325139309	0.205128121465672	0.0627210621503888	0.24839138500536	0.2257392623897	0.176539935050955
"UBASH3A"	0.398452852597231	0.250644454210247	0.027241106272871	0.0222176335809386	0.0220355531050037	0.022245837079655	0.00314564531003803
"CD247"	0.639517222078369	0.636289586076433	0.12822187156355	0.0570861779194751	0.0580104321351362	0.109481141655804	0.0211942037278976
"PPP1R16B"	0.596767259713056	1.49300337906621	0.147333540753688	0.0524653526686497	0.0963493309429452	0.48238006823878	0.0596319115122917
"KLRB1"	1.55391337857657	1.52579252520171	0.76746186340544	0.559186708562148	0.202893609495998	0.647461089254285	0.161622700522189
"TIGIT"	6.30665206438106	6.01461310283955	2.81038429217877	1.80973933368651	2.58944092324939	2.93224410190855	0.336269206427031
"CD3G"	0.912667544163816	1.12042364723288	0.308219351580737	0.0660416824307336	0.169221067047562	0.218523812593035	0.0428402013080733
"SIRPG"	1.54637167134967	0.99174274530343	0.229740009188041	0.0675965181810598	0.102953103235135	0.139283685059073	0.267302714193739
"RGL4"	0.251754051893121	0.19087347267521	0.0939188389548662	0.172617091752673	0.223098637928009	0.128480985165974	0.0598320429627213
"ARRDC5"	0.0365258854262602	0.226212434643104	0.00367940240853541	0.0139348282978302	0.0128366751399001	0.00693638591234274	0
"CD69"	2.09514431959675	4.24710648562573	2.13988906025538	0.214608700142423	0.394869494599441	0.454071909140961	0.139173499159434
