"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"PDGFRA"	0.944875301884417	0.453069915235854	0.386328956081333	0.493591148322744	0.201958560015393	0.773880904683629	0.0692884866996094	0.189608918174677	0.0930537633472793	0.0635307186316492	0.878063473659695	0.579045237367043	0.342960839860361	0.838075479226148	0.171290064538284
"CCL23"	0.262661332969932	0.421446619355106	0.099032056528052	0.0138112103580591	0.0169251488450148	0.0341709522013908	0.0399722718348791	0.0124524174624119	0.0655808921126506	0.164863051564886	0.212226735270675	0.00823057025725598	0.156149574870209	0.247796680053764	0.149603467812224
"CCDC136"	0.0227734324518805	0.0409845975019752	0.212474272817969	0.038114518986018	0.00546776153502322	0.232896340264069	0.0998650852788437	0.0500815640701714	0.0257940360923613	0.0691576416151141	0.139619906357305	0.0434889976096283	0.0141238010054302	0.0219099539213221	0.189144973199363
"NR4A3"	0.15241069626263	0.0406467587396366	1.93431911345898	0.108439272955911	1.06163634579632	0.207099782260535	0.268820862840843	1.54933998245841	0.137265566223236	0.317105464334598	0.119892210128774	0.134189444727645	0.166387728572196	0.0899438787820958	1.89210168040282
"PGR"	0.0235352035612903	0.0117474643532251	0.0368257338267617	0.00193834633450405	0.00363278423325322	0.00410845251518116	0.00306677565967595	0.00349319940936368	0.00254112312687308	0.00252600930294888	0.013050172695975	0.00296714743921042	0.00420578852349944	0.00914309181622722	0.0154004350017535
"GIMAP8"	1.1463568320985	0.47234613210723	0.782134367771772	0.192606485939676	0.378998243382627	0.313776826592625	0.366396711527798	0.461501618705698	0.685126110519248	0.799823591572812	0.618439826701962	0.303927785277644	0.762798077680659	0.478292639629136	0.708266064956544
"FGF10"	0.136766939734359	0.110162785928471	0	0.00573602227343079	0	0.331754369421466	0.00885070958698933	0.0851034251120757	0	0	0.0522000913319218	0.0310692152593398	0.0226272880721177	0.0754468792296356	0
"GIMAP6"	1.56420268223426	0.705725830888138	1.42499851042201	0.267524345777857	0.784598043402034	0.396049061090605	0.717788290096236	0.875771810553344	1.71386883984367	0.936490385933716	1.0370594352901	0.488309450599363	1.36049572520594	0.777473496568605	1.3326432506099
"SLC8A1"	3.16972207805992	1.20541210063807	2.81213371479817	1.29372374443798	2.31232665013782	1.30374344591689	3.85879132131567	2.52500115267174	2.55980853354685	1.77324945840158	1.57464347503293	1.22946595122595	3.01602285791572	2.52883755691465	2.63389295575464
"RGS9"	0.0229507736356897	0.0306329529661418	0.0181685690700062	0.0105177937492844	0.00359005714611558	0.0244453944463873	0.0616889087564699	0.00196281727125969	0.0675554791274291	0.247616126610058	0.0441552588338739	0.0048586148778378	0.0326902236425913	0.00989659709916995	0.0241488674077248
"BMX"	2.67466263560767	7.2938392157015	0.402982295158137	0.884898901859611	0.489757315039299	0.620201750719455	0.224586828545602	0.847449059070434	0.792870285662632	5.53079960913033	7.02745238358969	6.8617413429739	0.663694754776141	1.35882869094955	1.11607472276648
"DMPK"	1.95630535907604	1.60179151115551	2.21027231424081	2.28724150638675	1.77229261478723	4.09943509835567	1.84974913657916	1.17288006633484	1.86463153824121	1.89840182973781	1.73985820065176	4.47633244457884	2.81906132606221	1.97426845058899	2.86469462370042
"CCDC141"	0.0101539756539145	0.0351668155427121	0.0141583952473327	0.000601370565278397	0.00112095570235792	0.000832928287581383	0.0101130821077155	0.00167730642021784	0.0416229093828159	0.088767910419346	0.0114066097022627	0.000802463359094978	0.019902128763787	0.106066025235436	0.00585065727678249
"SLIT2"	0.215850028246079	0.0634362951148245	0.166241747423311	0.119927593835852	0.105692436879009	0.636777253976384	0.0572161059104443	0.032486778395801	0.045868581911895	0.0440194338138891	0.087088003266509	0.186342689662978	0.425301804016964	0.127101100811922	0.0606620523854353
"ABCB5"	5.29717932460357	1.99764576956457	8.60377419507269	0.88064520334303	8.34234475357043	0.639723943068566	9.09680103693474	7.13559862896714	6.62433586178804	1.9593935557316	8.17999180133388	0.187952540395575	0.885677882409115	0.179387103182871	6.68427383667355
"ABC7.42404400C24.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RBFOX3"	0.00141517656326355	0	0.00212897443728927	0.00581798395373511	0.00377385001591408	0.0127668425409175	0.00271080977343343	0	0.00971307032904934	0.0055915129953922	0.00120021886721685	0.000547951456968888	0.00253906468371701	0.00545989427362759	0.00526716809325901
"FLNA"	1.97625846720552	1.15506804872731	1.84659942573084	1.273493950844	2.55257287380629	2.09397722580106	2.09443555230738	1.7761794778007	1.71017034965183	2.06254004202944	2.09633945906344	1.53645148475922	1.57817902705839	3.23344197560968	1.92904568593459
