"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"MEF2C"	0.245877125192191	0.184057233838	0.649001566481308	0.436072740915134	0.946211144387082	1.0258227370223	0.906540812191629	0.250730030329582	0.506296060620652	0.602212510865977	0.509975015511689	0.372701767521442	0.559549481628392	0.33109598271642	1.37559748182039	0.139779796489334	0.118298240071093
"SRPK3"	0.0253420132942682	0.183732216564629	0.0104840412563034	0.0201043619730646	0.0269843320322585	0.00433768729375163	0.00072559817323719	0.000429796037346956	0.00965054487870129	0.0107278395044867	0.0142968064371677	0.00361794626440436	0.00242667018473926	0.004003064922454	0.00250183803354329	0.10635088833883	0.00279405455593401
"HSPB2"	1.87801448487716	1.01162839012535	0.225626582082896	0.708603873383191	0.819743882828815	0.845732740829309	2.86228987797672	1.63915462854017	0.863700681963652	1.25997700725373	0.137509096454562	0.190801463718926	2.19287605922364	1.20790032264756	0.748793195163444	0.128267281670375	0.178227796628926
"SEMA6C"	0.143854674370682	0.610831958352616	0.127630131180021	0.0558357961046834	0.0813898120985177	0.150385603504885	0.163145547248861	0.0975738538696364	0.0449821025551945	0.165230009412878	0.105177190721328	0.812979426536535	0.285937186042713	0.0765187491596809	0.0748706584107458	0.151592165693821	0.181773651935828
"FABP3"	1.33189241182542	1.84039193624338	0.921734787756966	2.82970777542623	0.628415629642418	1.14696241106122	0.39199802096597	0.575356942146274	0.863058678869613	2.46728934749209	1.10450931052553	0.700811611019476	1.70120818431799	1.01827940401235	0.354733998552384	0.752064457613196	0.247758719157471
"SCN1B"	4.71761231687327	6.0615612628072	5.37748929931389	6.2772234595271	5.95369414512967	5.83510283394722	2.89325228847116	3.93505596468934	5.01637095923836	6.87654446608189	4.22078675309907	3.62884078679033	4.76715508092149	5.02941846316595	3.4706105766209	5.12121210311868	3.58250187782851
"TUBA8"	0.055912665698302	0.252399808878018	0.0653425134774854	2.22675481074154	0.0136971416317501	0.0323904497316648	0.0285149282478669	0.0573184114246483	0.0392740804803619	1.37189358387861	0.143675481180028	0.360387423608469	0.382330254660601	0.0529515555810721	0.103813490221964	0.0124436939030541	0.0444408694320414
"NES"	8.54292976037037	8.29279092881047	6.14636697299856	8.89124081688971	8.16594209383256	7.73902890002219	9.41867238646321	7.48429914435316	5.20454626272237	8.31972380034728	8.24759941436469	8.24320502124309	8.38773259411828	7.29824543815977	3.89380944583886	7.87510821746982	6.77386538417121
"PKIA"	0.153348307921743	0.106828702184081	0.328106623512263	0.0406927854370789	1.51064714944992	0.0979067318426316	0.0102905868701744	0.00463083397039392	0.194915226246954	0.777859688763784	0.024782947019254	0.450171442177639	0.208893031138237	0.0869946929668037	0.415882731452436	1.0977251394887	0.854198090579076
"SCT"	2.08181720006137	3.27537812588118	0.479525371547183	0	1.01946353041958	1.22763720934671	1.28937935412628	0	0	1.50980213037069	0	3.10411032369531	0.676688773321329	1.9913113818553	5.73592360060266	1.41532426627796	0.693134341823696
"MRLN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CTRC"	0.00224832902720719	0	0.00303288663789849	0.003547321580648	0	0.00111604428106817	0.00165193291559212	0	0.000977008759202693	0.0126913420419584	0.00193577956005926	0	0	0.00295600779149172	0.00555832200918351	0	0.012948534827237
"PRUNE2"	0.309195883276543	0.0405495480663533	0.39773354848237	0.0143061789615253	0.030800828276936	0.0792454099203443	0.742063554633095	0.53643700169447	1.56158623348627	0.0251070104126238	0.109986143675403	0.0050173679198987	0.00935138178359261	0.0219429129357607	0.0485833812427662	0.00956494839672983	0.0166561811499084
"IGDCC4"	0.351546112425263	0.0815055001422983	0.0683997792036148	0.108193716885099	0.042615952995708	0.150750849935617	0.0154528117248467	0.00529430025063402	0.916689035525554	0.0349508317811396	0.171923650998438	0.344750776879669	0.25146445201127	0.0279153082922375	0.0413336267612482	0.134165979010175	0.0312255508156577
"ASB2"	2.37656882306611	5.18781571094181	2.4873552987757	2.73526016509202	2.10492112618188	2.82057042478138	1.99199563106092	4.84349306096268	0.575776546978331	2.79174183991526	0.433016864956047	0.780555868341869	4.33898960501632	4.55586859079927	3.8265594668429	0.936054302369132	2.23058508680723
"USP13"	0.133424076427981	0.163513839906125	0.85907299634297	0.913530893034212	0.220211249379391	0.26435196742112	0.207165405206044	0.806150202234965	0.258969652388373	0.288390472228394	0.341809521063225	0.325569642747539	0.222821929837603	0.200818130473788	0.266265949725404	0.543927727517228	0.0524181748982586
"PITX2"	0.288610886507578	0.0148947039599381	0.0857809343649787	0.00361697661287033	0.00958527322925449	0.114626828286225	0.219950382822857	0.300973698030742	0.0410214960350109	0.310987130441667	0.113940005109629	0.441767646574311	0.351741221211488	0.194225933139271	0.0190722563769624	0.0181693507035219	0.19173323827306
"THBS4"	3.0694468534891	5.64329401547368	4.75374707255234	3.69652643791153	2.92763735772538	4.0948808265602	2.13309985807779	1.23461640731193	3.92109491577606	3.44953934198587	1.82121774671188	7.34154790900185	2.23208475712022	1.26988172995635	0.219347937606372	4.57377482480476	1.21394242661113
