"Pt38.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt6.baseline"
"SLAMF1"	1.88572404032508	1.20734824284496	0.255912651216323	0.171023984830545	3.67228851196328	0.122236698399437	0.0961901102760774	0.179501209311741	0.0328909720316478
"P2RY8"	0	0	0	0	0	0	0	0	0
"CD180"	2.11122209007822	0.749463345980489	0.530543030656873	0.365651513666445	0.500214325507778	0.475684176343309	0.295562135948916	0.251077878155142	0.325597470862515
"SLAMF7"	1.27517617344233	2.80945308748779	1.06210534601382	0.81365599354149	0.925037931011545	0.505646285766746	0.694325491881543	2.12996370739595	2.79795521917583
"RP11.812E19.9"	0	0	0	0	0	0	0	0	0
"JCHAIN"	0	0	0	0	0	0	0	0	0
"DERL3"	2.44537709933824	4.47034642060643	1.69683817520147	1.82000481245863	0.457854597947412	0.378212053129493	0.166135088474679	1.81815143328298	0.376476586411319
"SIT1"	4.80811467419435	4.24422701535603	1.55726857024189	2.41784414673176	1.26753294428359	0.916121947862013	0.633270335263502	1.59958422045051	0.16116514775919
"BFSP2"	0.276583363727229	0.125396101557154	0.0342422356009654	0.0211574289422617	0.00181728905925318	0.00411780492765648	0.000887506686503567	0.0264912864600423	0.00085594345294131
"P2RY10"	1.94399728124288	0.887388254372278	0.143012439754428	0.127911215256272	0.16610693760732	0.193486169755535	0.0878019210595714	0.161527157720751	0.0583884707680758
"P2RX1"	3.63703454249985	3.75486490567196	1.30953280347743	0.574951178592896	0.817148121437971	1.09481154975326	0.573248342291322	1.29339041611892	0.339675300876873
"KCNN3"	0.19038498043297	0.259534168951975	0.236887026064629	0.219695745292772	0.0407186668143455	0.335541072494168	0.0609665822189317	0.0642387763373779	0.169431033653254
"AMPD1"	0.0135787444948106	0.0991490063768099	0	0.0146502471607402	0	0.0132920562715083	0	0.0523704501662184	0
"ADORA2A"	2.656826865177	2.48299166300289	0.969309313027909	1.14165374706965	0.775877597970709	0.60298503807163	0.588669110197811	0.725749969524198	0.0768725812468073
"PTPN7"	1.31918338273046	1.16118946213256	0.229851617004021	0.318810741413328	0.139440531099269	0.128015830630714	0.132366478494703	0.19372461388233	0.0567388235844537
"ANGPTL6"	1.42023861439199	1.35509374865076	1.39360861731723	2.08789566275546	1.80027366923167	0.280965515622249	1.0036126318693	1.63857324127607	0.34053744720664
"KLRB1"	1.52579252520171	1.55391337857657	0.24968270790076	0.741922299271462	0.76746186340544	0.647461089254285	0.224364550875328	0.381017801952464	0.161622700522189
"CCR2"	0.417583903717953	1.48819579363631	0.246116846067934	0.166647648969529	0.428800404803629	0.516758654050927	0.145354394743084	0.21431110009118	0.140922427407302
"SH2D1A"	0.893512329100056	0.927711111480787	0.0809846155583858	0.160611721433556	0.159583604206614	0.0868268681915305	0.0580615439774599	0.113706458655752	0.0116075675479009
"GPR15"	0.0436412952086248	0.010882063210856	0.00165298689261114	0.00243022075744121	0.00616942391805251	0.00412762629048517	0	0.0019263023848598	0.00167556687061798
"SEPT6"	0	0	0	0	0	0	0	0	0
"PIK3CG"	1.68748446240493	1.03094516888185	0.485891181330834	0.213012444251404	0.405835003802104	0.26518550671587	0.371521292352151	0.291468030228936	0.409508452815542
"DOK3"	3.23531418849187	2.00370044959335	1.90570171658485	1.30261180172424	0.778382753500386	1.2001670690742	0.990368618937195	1.06070201136157	0.749314884599056
"GPR25"	0.268382722856769	0.00953308127557069	0.0135821710382943	0	0.0220553666794911	0.00289328849379484	0	0.0239001346382031	0
"C16orf54"	5.18287286942539	4.53802212617601	2.78208391025936	2.89511944032216	1.96528502835468	2.14292502438631	1.38969886796766	2.16067725973786	1.38977330308352
"IL10RA"	3.07934715540488	3.20455047163372	2.16751322195741	1.91115589291241	1.72373729505573	1.30776390473636	1.53442016823817	2.11245428477596	1.24480643232926
"WNT1"	0.0183526487045946	0.0722062531337001	0.00616564825145408	0.0130856398766744	0.00349801374634227	0.00183359381415725	0	0.0215910431473714	0.107847076171873
"VNN2"	1.47697875422825	0.498238708194607	0.626054566025028	0.154144804607754	0.722213648305658	0.712053299128468	0.190074428061506	0.193182036811814	0.660025944424329
"GCSAM"	0.864220060125498	0.141567287036064	0.0277939648152264	0.0428737660947332	0.0413437645485275	0.0559728914381915	0.0333827294058631	0.0295559118282891	0.0150488738379998
"MC4R"	0.00542139763596036	0.0135643146922078	0.00407652770541065	0.0021023691159741	0	0	0.00175348478094056	0.0173576358256509	0.0139313637735752
"GPR183"	2.99368412339628	0.813461547708449	0.683213639535558	0.490723735897969	1.09446241697953	0.46514591401681	0.309081914360765	0.480085325160373	0.603138246090522
"WAS"	3.47146968012255	2.23012594074955	1.58822779562779	2.14190943564174	0.922246366414025	0.843530217504272	0.777915429119592	1.10087927336647	0.801504986400619
"CEACAM21"	0.614683575710898	0.63569006771833	0.15803218477953	0.239930607671685	0.132238240915819	0.124439833905483	0.123171027334912	0.156555335504812	0.133480085001381
"GHRL"	0.140028720231901	0.0427130509544263	0.00778999815290086	0.0377211774665205	0.0253141124522046	0.0107623180836131	0.0083137377450913	0.0107780131476615	0.00516024111803835
"TNFRSF4"	1.17192714045255	1.04471132489277	0.870126666384973	0.858991037195234	0.155990368159899	0.214867531468931	0.321519585028267	0.468421664194527	0.26762127792608
"SLC2A5"	1.00543152974207	0.981064869389161	0.614487793090342	0.199561539794392	0.186098501643669	0.163281056552561	0.11542252036292	0.468943378169619	0.193095263971589
