"Pt28.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt27A.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt29.baseline"	"Pt9.baseline"	"Pt4.baseline"	"Pt7.baseline"
"GJB2"	7.13307639050476	0.818399809199053	3.69586134910673	0.192281662975089	1.30449858737175	1.33078310464797	0.941781851088309	0.234669208460281	0.116339221496485	0.538393768538573	0.217887984622998	0.0423878686238783	1.09438124943969	0.0251992695092592	0.685619917864045	2.54461387578658	0.0715818796410588
"FAM83A"	1.99469377256883	0	0.00154631064541681	0	0.00054313156648561	0.000661372772100984	0.00095735391497712	0.00175472799993701	0	0	0.00265836067245146	0	0.00120630388338362	0.0103041727930361	0	0.000446902183696707	0.00107894519118262
"PI3"	10.7094328044948	0.0718812108412637	0.00703914518692546	0.376890050105641	0.106259527415251	0.065928266828847	1.91360286813491	0.467402780823359	0.145806668110887	0.124311385540008	0.292937026016119	0	0.141540199663758	0.0979544249437885	0.154688875923776	0.0605195278205185	0.165167967145953
"PPL"	3.69765033218906	0.184598742731645	0.0587757947090487	0.187184391483205	0.300898397660931	0.640580034510321	0.622930823197837	0.39923577773912	0.00854441609368088	0.0128712646803681	0.0316129445935887	0.00268659382843429	0.0738757577019997	0.115285785962804	0.278477752255034	0.0099176553730423	0.262655526633297
"CSTB"	8.58166030684239	7.11554383330981	5.8761265834371	6.14972369160403	5.62759205806202	5.00402096750782	4.95004637731163	4.3928685826523	6.12633292828517	7.06369926042719	5.25125987005607	5.01840910100527	6.16957608976177	5.6300463580561	5.34817624968512	4.23397322096812	7.18445686895101
"S100A16"	7.07644066965645	5.75183903305943	2.26386586836684	4.31804472147308	4.74202185999922	4.41359882960963	6.51946514410402	3.91201012661074	1.18093936205402	2.99833827285624	2.74024972596401	1.52762563020164	4.7103982177369	1.41447963866342	3.33384071409428	1.66079815093578	2.47412921265409
"S100A7"	13.5705396833606	0	0.0276831089599749	0.0617415758591564	0.703607514769641	0.0776683662520527	0	0	0.831379468481664	0	1.28858398946202	0	0.401636142538594	0.65766042071324	0.0196907174697314	0	0.783592196962699
"DUOXA1"	3.05036570850759	0.0354236315341828	0.0114659587992372	0.00840558915585598	0.00616393920699502	0.00654620429627841	0.178146333597116	0.00963494429825782	0.00329364399634953	0.0129814655323405	0.00513236359561779	0.00342003533812645	0	0.460435189905119	0.0665479770990614	0.0268315350670463	0.0447653897530511
"VSNL1"	1.11264549749734	0.00969828855713477	0.0309660254105374	0.269653743616185	0.155628608143788	0.0151797653401557	0.0994296034298054	0.297155514331436	0.00354749067447757	0.0224260463303144	0.001980163331584	0.00138732960263329	0.100093120008696	0.0131250904398304	0.0727235683963661	0	0.00256271716449878
"RHOV"	2.58720344763306	0.0101961890770077	0.000539992270722539	0.00611894320521841	0.00575055682137894	0.00275458593125402	0.00107518921352919	0.0231679120581909	0.0042452413149802	0.00949461475791736	0.0023065091787691	0.0117846360073764	0.00320617925168275	0.0884702958749624	0.28962686231732	0.0195447540201219	0.00594647823834408
"AHNAK2"	2.23293320262086	2.14081141623368	0.185435651482701	1.34771103379883	1.11518237316283	0.529843290352946	1.28470392148764	0.21119265421142	1.31025472945998	0.777447404674848	2.68791860104352	0.0800532559114479	0.873245425725738	0.0814967207452158	0.193240054836126	0.259671945070327	1.74592444172966
"TP63"	4.71011119342469	0.0298610249856253	0.0719316935308839	0.0267345985054527	0.0382551204679921	0.0535214074367159	0.562435598254287	0.0992117955081384	0.139129120643755	0.00846146854002319	0.0269603037849972	0.215091992191621	0.013247464104889	0.153332239023829	0.361278014183478	0.0691081050158271	0.0191154821909401
"SOX15"	4.44216515208449	0.145738249693766	0.166403852536216	0.229878551898618	0.171782168903943	0.118188190488507	0.278269800162919	0.426438149824227	0.123386398057407	0.0855433246882965	0.106567639142224	0.204086103599619	0.0219891531010999	0.0733314097623793	0.446040841184355	0.0677369493595155	0.119361890651304
"GNA15"	2.32421343495437	0.100891105121224	0.176147621424033	0.104889826016763	0.0817975253215099	0.241640309698521	0.314140034816803	0.166958806065219	0.292523565722245	0.253932437977561	0.226204856472868	0.209196728778927	0.0896602907887551	0.137582408017228	0.119410159747888	0.0546027980211654	0.086218822168322
"DSP"	4.28670203332976	0.0215206801840723	0.0197111526962306	0.63276255428734	0.0185032378006205	0.024334137687399	0.0116551650786953	0.00206802166174292	0.0742530537680248	0.0354543592640149	0.0160448288567515	0.12966290076133	0.321932863950552	0.146166520863171	0.425269273517211	0.520851240832032	0.375799563809569
"KLF5"	3.15033554956654	0.200005465758563	0.0822830227555481	0.463494714896849	0.523522465129249	0.207161327394795	0.415713424805417	0.495511571262595	0.0465582010479921	0.0890217441348985	1.38540045760228	0.0507651874833793	0.0773708098339178	0.520354073136432	0.55205252315983	0.0602072171744291	0.0361552231327465
"FAM25A"	8.17897444874705	0	0	0	0.0703585009793734	0	0.0431733043425991	0	0.0982179928267041	0	0.240855501088171	0	0	0.0546255249935117	0	0	0
