"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"MLPH"	-0.988272649053024	-0.772013470257996	-0.962652054898792	-1.03040279959476	-0.908218629063675	-0.703085941955191	-0.751602579114026	-1.08909794187146	1.57202617510078	1.58208177528607	0.891410793924072	0.416219174805827	1.02640909287949	1.08144919789706	0.291283541508978	0.344466314406638
"AGR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HID1"	-0.528858507121879	-0.845141455816315	-0.100310197287662	-1.2006919240095	1.77699784120689	2.45863604625407	-0.451808316593648	0.821982986515774	-0.500725803481496	-0.539130790113852	0.913531358532507	-0.518203485212266	-0.795769325680427	0.00191638890270433	-0.0552075387864067	-0.437217277308502
"MUC1"	-0.284037163045973	1.39474588777004	1.47504194930251	0.337943085082921	-0.928443495152132	-0.701693304587017	0.395866839006878	2.44777458228326	-0.990040361087989	-1.10534687149243	-0.459132339597329	-0.497174916604879	-0.273430008722172	-0.587488526569522	-0.307584363633747	0.0829990070475738
"AC234582.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EPS8L3"	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	-0.354044532209948	1.78510304412945	-0.354044532209948	-0.354044532209948	3.17152040680982	-0.354044532209948
"CEACAM6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IYD"	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"GOLM1"	1.83313419940316	1.07453608729035	-0.292662573703207	1.14112955322706	-1.19761698915275	-0.741480904677737	1.44673688818872	0.272631302193977	0.368768158840305	0.572743726198514	-0.89997828882083	-0.727701980854465	-1.16378684941175	-1.18259628064486	-0.614075544318673	0.110219496242212
"CEACAM5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GMDS"	0.262038235743124	1.34141233655192	-0.381474386247312	-1.40697435984671	-1.24583493250217	-0.260091454919437	-2.02173212415709	-0.971954030015825	0.44661424160306	1.21824035174885	0.370894136624899	0.734259821913261	0.0654660019552467	0.0869122850276683	0.417338358176325	1.34488551834417
"VSIG2"	0.468020150486238	-0.222201211895985	0.368943014623355	-0.300377619540885	0.663410686631654	-0.469990782354517	-0.541229363347114	2.26119911981167	-0.565156607902088	-0.952606574736246	-0.464296719661687	-0.674563910509694	1.30020014416996	1.40494957829068	-1.51606448601448	-0.760235418050862
"SELENBP1"	-0.512647990370916	1.36183688560914	1.56330903325941	0.0320615716788949	0.43717860039663	0.589171251758992	0.0942673717172309	2.15348472977753	-1.26229719839415	-1.31352222793411	-0.74129580936282	-0.743095306179625	-0.501072794231932	-0.484387795336574	-0.581841962695949	-0.0911483596917796
"GCNT3"	-0.946383641114344	-0.946383641114344	1.36510239219172	-0.0917577819077036	-0.560086793729015	1.17668591348147	-0.946383641114344	-0.0168136627560711	2.01334910563421	-0.213561241238443	-0.560766427687307	-0.247583561995487	-0.188756500220761	-0.611463216854209	1.72118633953898	-0.946383641114344
"CREB3L1"	-0.287393218104744	1.89456027150604	1.8536103381324	-0.166442624797763	-1.38924160059776	-1.26193304734579	-0.453378072517146	1.70693838189411	-0.145989893108989	-0.0276728607005617	-0.539325057070065	-0.582238670411462	-0.464434234686993	-0.454029339329216	-0.0637601319298429	0.380729759067756
"B3GNT3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MUC5B"	-0.48161845481257	-0.48161845481257	-0.48161845481257	2.27707394393383	-0.48161845481257	-0.48161845481257	0.809629911832304	2.51908928697632	-0.48161845481257	-0.48161845481257	-0.48161845481257	-0.48161845481257	-0.48161845481257	-0.48161845481257	-0.48161845481257	0.173628315008388
"GJB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
