"Pt20.baseline"	"Pt25.baseline"	"Pt38.baseline"	"Pt27A.baseline"	"Pt8.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt31.baseline"	"Pt19.baseline"
"CFP"	0.195531814134273	0.936631655108483	0.799545632065876	0.0814465609701605	0.13652025076926	0.140258622070873	0.0375734562130201	0.0775125833722452	0.249250707890406	0.15037952489326	0.149373546162001	0.198381566371862
"HBD"	0.0649372900094357	0.0126694945093981	0	0	0.0968291890651715	0.0141083180471351	0.00798124409234606	0	0.0843102632063012	0.0306509063825344	0.039027935582968	0
"C10orf105"	0.456766238320941	0.0869721085235081	0.650651614274521	0.530799056864782	0.881637814554176	0.814005420341051	1.18253450307484	0.354620954888102	1.03774669722419	0.66332260073329	0.123827197637232	0.588665952439355
"RRAD"	0.095657185522197	0.151882531666582	0.992271406374532	0.0776444558153329	0.715679536822715	0.184305921422016	0.0591862732495841	0.621943778961653	0.517902009275644	0.239526651832692	1.13103403829746	4.87082275881999
"UPK3B"	0	0	0	0	0	0	0	0	0	0	0	0
"FAM179A"	0	0	0	0	0	0	0	0	0	0	0	0
"ADGRE1"	0	0	0	0	0	0	0	0	0	0	0	0
"AHSP"	0.0369207114819047	0.0700927663624231	0.136274349654333	0	0.104024799630606	0.0651911719625821	0	0.0343851113724628	0.0166797916372488	0.197146887471675	0.417035543437988	0
"PGM1"	1.32596915862569	0.485033260730843	1.35035412800876	2.22519425296397	1.06736369050792	1.76278371234481	2.41417459157198	2.06860055118736	1.2020945383483	1.72788218964381	1.42544463774952	2.13296558655628
"TRPV2"	1.54826669901466	1.82937490980822	1.12756218951786	1.23349488797368	2.09330656671187	1.8947768569907	0.559340768865076	0.909914413047876	0.735360777102003	2.19630817400972	2.60618855293008	2.74325520123386
"LRRN4"	0.00332277664199339	0	0	0	0	0	0.000917687808018453	0	0.00322110495097989	0.00697562880447099	0.00795453582150988	0
"DOCK11"	0.512695255070239	0.12114701601576	0.914552333894456	0.445751272707487	0.227197738674984	0.482642522207424	0.389441052571623	0.491401429305073	0.711679220376097	0.43702506576204	0.0912942971494459	0.174785648673469
"LILRA1"	0.136626944448545	0.101601153407756	0.117438492168947	0.21794570806844	0.0637797380395493	0.0376671968900865	0.041778538386982	0.188684363561436	0.293530318106923	0.0507254492933058	0.0412211798940298	0.0717441646681067
"RTKN2"	0.0277933122275851	0.0236785776281187	0.0562090057333829	0.112773650350001	0.0130994803930561	0.0480957159973814	0.0645682291501526	0.0299789921645547	0.0576557596993594	0.0528558436262221	0.0187913103914512	0.0615965267458498
"MEDAG"	0.167088516667801	0.237251658480664	0.0502369122290958	0.539268751376125	0.985031841381934	1.29804700384152	0.911484502597561	2.2059816064932	0.879807417759196	0.715673180912148	0.209156782972598	0.227671827255546
"GAS1"	1.11888684879439	0.563102293919146	1.92904428196779	1.35491635570165	0.909842547320977	1.19956070315688	1.24482097843456	0.716683434965633	1.42242804985027	0.573363932141241	0.898231040473054	1.07900889163731
"GFPT2"	0.469154949068791	0.681110925596903	0.152604076150054	0.351879395047166	0.71853559296443	0.97737923013033	1.83536105656893	1.14090091904856	0.655757036826267	0.42586428778872	0.595360361401753	0.554922442059926
"CPXM1"	0.832002359065704	3.0973517640617	0.340853008386277	1.11089640530272	1.99887907551176	2.09948884969258	1.2673624337191	0.828242583004729	2.55229390395471	1.49505364635466	1.31065463491443	3.18131366969355
"C1R"	10.8479442891446	7.90349555618005	8.76626681261771	8.80635629432747	9.79444025762547	9.44149735633392	8.24324192674802	10.3067625253193	9.53168863983318	8.6747272105603	7.81518298102911	9.46040464839133
"RARRES2"	2.67632319190398	2.02004263303197	3.35953590399048	1.41042758236662	4.11968222934656	2.46077165293189	2.22765060276781	3.28327825975077	4.19205860014842	2.66985788726669	3.3095414043796	3.72349077910594
"HSPB2.C11orf52"	0	0	0	0	0	0	0	0	0	0	0	0
"PCDHGA12"	0.855478680888602	0.0580636032447641	0.451415261962672	0.198859502854923	0.0909680433923973	0.148553807204337	1.69803590884046	0.0767649337214726	1.18801367748798	1.71918919530739	0.107751592465087	0.157136249726727
"LIMS3L"	0	0	0	0	0	0	0	0	0	0	0	0
"HAS1"	0.0101992437297764	0.0199845135110538	0	0.0416740237191562	0.323640365146772	0.134778140206381	0.582692472352231	0.16230436260018	0.214877876733651	0.033755819590404	0.0540787964728121	0
"GYPC"	2.81420260985771	3.24530535443007	2.47592722541985	3.08444745306334	2.19686426289026	2.13034360486111	2.29022536867932	1.13872078088854	2.09358869309544	1.31643531294206	3.58386776414114	0.814680373450477
"ELFN1"	0.644827090929651	3.09526885080617	0.216687167430687	1.90442082265497	0.391836666198359	0.500692571356414	1.58125314028113	0.457559654099383	0.669961550733767	0.364731527317669	1.44265781470836	0.6618896218719
"SH2D3C"	0.4963017531972	0.389937746840193	0.937766647947479	0.187608756001289	0.226772407706647	0.363388110863534	0.173054253755987	0.298597732364125	0.539474278832988	0.213683972735509	0.383275852975865	0.285277487497213
"EFEMP1"	1.66642177059771	1.28811845760617	1.75993199455714	2.97055251490266	2.9651597329277	4.71626191507118	2.03518302892581	3.12362682290375	4.48523835209912	3.32573438679344	1.13045411309795	1.53150819746136
"SERPING1"	4.1290189804702	4.05650643551319	1.96588249446332	3.65165594851981	2.43864695906206	2.79731798429465	1.27021203680479	3.44335207907096	3.11706393859514	1.78427040413803	2.08541509124705	3.23264239394508
"C1S"	9.93312237040751	7.46366064039295	8.66575509523371	8.8207555793278	9.01265469348626	9.52040544178132	8.11478815555043	9.00647574647542	9.87870420998228	8.5045132994699	6.73345504879925	7.35150507962766
"GPR1"	0	0	0	0	0	0	0	0	0	0	0	0
"CCDC184"	0.00759023240511143	0.0369925986314441	0.0199494410372458	0.15870090407938	0.0231472854050711	0.0542536685560331	0.0244424619915366	0.182226112384507	0.0236655744726941	0.00773315657242913	0.0915869072653509	0.261332083077395
"NNMT"	1.45794483495827	1.80114336368511	4.60527637548136	2.61271787604405	3.23928275793681	3.88912097569197	3.33467939438866	4.37134887649247	3.77924335154812	4.34411601558474	3.51521893789178	4.07945450331936
"MGARP"	0.0122894664548108	0	0.0181114081175711	0.0114261395007957	0.0363701475615763	0.0283738340284377	0.0198507608108266	0.0126128733367762	0.0211039210026055	0.0115082577027468	0.02412386542171	0
"FOXS1"	0.127532379891421	0.145432374325979	0.362152459376935	0.259871347588865	0.0590829132366295	0.201257575537241	0.163108002189105	0.128501793163839	0.594704799165373	0.0919197874765864	0.618515364014293	0.470440263174632
"PRG4"	0.059080113412262	0.0569566588326595	0.0134580053879929	0.135457758470907	0.183246899030398	0.263505371382721	0.154535223796778	0.0133597552212538	0.261050149089134	0.168114381221819	0.00420414392291217	0.0667646027502238
"C3"	3.07469695406712	1.87193023989775	5.62413812327068	4.28021297329468	3.11487150231726	5.43429340012587	1.91112614381825	2.44073192756809	4.90451371003395	3.79188936334462	1.51752721225099	3.04263975824554
"PROCR"	0.132945955595063	0.253016743220745	0.238554304483252	0.371858152751215	0.974255765926839	1.04171979216567	2.0397692773749	0.480721317205286	0.66111944407084	0.367081561400967	0.40557094730108	0.978076764871516
"TNFRSF8"	0.665100587354865	0.308795897556012	0.886690580964672	0.307679790528879	0.407917376847818	0.372443068923653	3.15662863717416	0.508603237839054	0.397769371516422	0.288069577585114	0.297958512753218	0.475311060497605
"BDKRB1"	0.00529795064534783	0.0321787434269691	0.0116816333909676	0.00573260825891551	0.0211596837249185	0.0510043247999403	0.0719536351310501	0.188419893094374	0.0284153184005346	0.0237660013748931	0.0742428311418464	0.0094212342764521
"IFFO1"	0.693330706767238	0.392024390135915	0.454041098005029	0.445599926522863	0.627337843118989	0.275688066942387	0.185637225328473	0.339241084472707	0.428574315480801	0.532412631446895	0.2315550708598	1.07940998263859
"ADGRG3"	0	0	0	0	0	0	0	0	0	0	0	0
"UBAC1"	1.41566653534836	1.90514640617041	1.26261561840487	1.25997443084026	1.13681989529716	0.848696134688464	1.19641383425757	1.06530479465827	1.01255748754545	1.0327337258043	1.62117198979835	1.14977909306168
"DNAAF1"	0.000976527219077141	0.00629649213153012	0.00914318295497989	0.00495007714653793	0.0038750465022124	0.000349764264179047	0.00200330247034281	0.00230430795939767	0.00570011164261613	0.000455217416156886	0.0100757011913443	0.00313533309249416
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0	0.395969989813776	0.0131325221648774	0	0.0809970524216525	0.00655601953587391	1.25525166732572	0.132546430841911	0.0669112617381717	0.0389843458920374	0.0840420166957335	0.0469206592509582
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0	0	0	0	0	0	0	0	0	0	0	0
"FTCD"	0	0.0526185821857183	0.0188590584997635	0	0.0195449123135711	0.00454764218661313	0.0359615654229136	0.00679102742871945	0.00153322590291021	0.0499715290143283	0	0
"LCAT"	0.17827330280905	0.200545798129454	0.11765211450576	0.17596703876162	0.184578315807102	0.0825624073243179	0.143369827950647	0.352526525528593	0.148985440710835	0.112459073517791	0.104850525453979	0.176490503635018
"TEX40"	0	0	0	0	0	0	0	0	0	0	0	0
"SLC22A1"	0.0157610533449751	0.0212658498592584	0.0098581599666224	0.00367264416491583	0.020584154854214	0.0164791786122302	0.0113928498041697	0.0039680056947965	0.0182681132345851	0.0149524730559551	0.0189826361133904	0.0117689971051238
"UROC1"	0.000326176219434082	0.000315286348346288	0.000632787046210662	0	0.00138805856818971	0.000106894676631059	0.000104551383537888	0	0.00147631033514737	0.000738614695313671	0	0.00166154961243564
"VAC14"	1.01036873847327	1.35528868697834	1.08507416831148	1.30411609921354	1.02273728209028	1.0926708302013	0.717776967705613	0.626938121597563	0.819108166094977	1.0862887627527	2.18352595808112	2.1174828756263
"TMEM151A"	0.0245140104560355	0.00262260418772189	0	0.000664810640614552	0.006222170584421	0.00305418594417797	0.0104913503898977	0.00213817886881443	0.000212557616909882	0	0.401774678739943	0.306733926671779
"C1QL1"	0.647162896098766	5.89254656682571	2.59499337464726	2.70423337173053	1.54614505521218	4.26028758049313	5.34955713935796	5.47512090596952	2.31207882603793	1.01305040654904	3.91369084925787	8.5399012986019
"KCNH5"	0	0	0	0.000870598613487906	0.0150050326472666	0	0.000832078419058953	0.0143215842395807	0	0.0385176537396249	0	0
"GALNT9"	0	0.00748045560076032	0	0	0	0.000904545034832373	0.08103574232206	0.00332639374024268	0.00172851217948423	0.00129197487627506	0	0.00143101326251022
"ISM2"	0.00184330036736521	0.00169596771538338	0.00366645707024333	0.000929172376295048	0	0.00175194979025863	0.0162115897577497	0.00142880084390077	0.00173252442745782	0.00139499181292297	0.00804074757633579	0.0840134611295719
"NPFFR2"	0.0285577515169007	0	0.0349313454483277	0	0.0126265755106209	0.0792706035651963	0	0.00324010862459051	0.00535863961430264	0	0.403804939075776	0
"SMTNL2"	0.0158455799588075	0.338659061818552	0	0.0192032324706031	0.00610539076236236	0.0534692276767671	0.0176245991505904	0.0172954253333971	0.0701793418261668	0.0141657935094004	0.0280262544541198	0.529609683707636
"FGF9"	0.00108126049330026	0.302126293336376	0.00436143740282781	0.00204318763668023	0.000661792772003939	0.00531265406414775	0.00192921565117711	0.00148753843246689	0.0117976044468465	0.00354837993108944	0.0466921490091311	0
"FZD2"	0.814396022698684	1.67064538265809	0.592411216043606	1.32671838564435	0.541967297836639	0.834045999277368	1.01292853098266	0.653209715663723	1.08329751807322	0.293653577001261	1.56680901050291	1.43718079886579
"CARNS1"	0.242471811545812	0.0762570349933442	0.52378049346123	0.0820607565169278	0.113638864818732	0.0544740698183349	1.52166850887501	0.203598797998654	0.159360392652133	0.13383660449256	0.0298360413689327	0.386698122639799
"P2RX6"	0.229697811424651	0.716949775772612	0.705952583783919	0.377331927050173	1.31931094315115	0.448124021245878	2.29457612211365	0.331299786659743	0.720457049600252	1.33767700773255	0.32812138300643	0.325319504048042
"MMP24"	0.0615607543694687	0.00975084156812151	0.0305817785409563	0.0245017978991768	0.0214633995853747	0.029147292985415	0.0781463390247355	0.281102336921059	0.195906645320528	0.0339176771175106	0.323235968520385	1.50673211087054
"SLC7A4"	0.0308705637739939	1.4423615267572	0.0223674818032428	0.00531550947819183	0.16317755952537	0.00542542481289908	0.0610771033118073	0.0218939298990947	0.0606144408155426	0.0610936698079876	3.2186384903712	0.368421563495046
"FBXO2"	0.623545393840743	0.99257943104939	0.400015816320562	0.0183061656886388	0.125133208253548	0.141657302596983	0.645596384049654	0.119282219635518	0.0298470002389264	0.509781208006918	0.335149735919037	1.43244457093945
"SLC22A7"	0	0	0	0	0	0	0	0	0.00171574300439457	0.00271126464565095	0	0
"BTN1A1"	1.60066537435459	0.0560322557840218	1.7097029330349	0.262938749833329	0.219267000896023	0.0555703047353996	0.131988870635561	0.197666036639666	0.517341505882861	0.188823077251481	0	0.0695057389160511
"CCDC64"	0	0	0	0	0	0	0	0	0	0	0	0
"MAT1A"	0.220074733730122	0.0151341377254173	0.0689399941474744	0.221918969144202	0.700587506871573	1.22984497669052	0.00598175846533862	0.00347008630537185	0.0180207176599089	0.229291464328217	0.939015110420867	0.1523335547973
"CRB1"	0.00423400506647798	0.00245933693670126	0.00661344299863687	0.00308052574566695	0.896230793056539	0.00146328986027196	0.0023602808584407	0.0151989240708103	0.0179639845271157	0	0	0
"DCDC2"	0.135577156155223	0.015764928250555	0.00458383269024518	0.00146395814810309	0.0676828871928085	0.0894241103554238	0.0115505847628449	0.0159194960595424	0.0102316068381244	0.0219420004600068	0.0216706521281951	0.104181756529605
"CRB2"	0.122189677467208	0.00201885514905928	0.0603404673311228	0.00445873124299154	0.0507997395824485	0.00260784567305884	0.117871317071926	0.0142415380820425	0.00136747026457086	0.0408113427977155	0.0019820499135803	0.00501918108448371
"CLDN15"	0.25879714167317	0.232050928401211	0.399459010969636	0.222227340513671	0.656594546200682	0.383175332447871	0.377003271007291	0.149372943312821	0.248602225093586	0.265757486243385	0.246610543224035	0.456653034448242
"ASIP"	1.85589946798578	1.897275364282	2.55485460340422	0.715250578370677	4.98269859972976	1.85385887436337	1.59461205657035	0.597629544232611	1.80929356054956	2.04747803011875	2.44769139690055	2.25167969752975
