"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"GPR171"	3.50884948284744	2.17363916357058	2.52329346434549	0.982033800585106	0.896649283640707	0.485755518094407	0.643088240827781
"ICOS"	3.00717396848171	2.08743228973775	2.84876613879972	1.06347049856006	0.287279607699125	0.720552967126202	0.765704889480145
"TAGAP"	3.40439839025343	1.93312880908928	4.76688663936294	2.55061505169387	0.792170690462397	1.75370507647017	2.01732333256348
"IL7R"	2.54199053816093	2.46506678259823	4.53567974119837	2.09577086182808	2.64314043551271	0.782600212556203	1.59415199277468
"CLEC4C"	0.148325930003166	0.460100873881058	1.91806941741782	0.202142478320096	0	0.161948548316115	0.280779379886249
"IL2"	0.209027200761752	0.0474099573635601	0.422000428110402	0.147424584619516	0	0.0364479106784619	0
"CCR2"	3.93465802783973	2.13645554988708	1.95991478833819	1.87680177397827	0.910326654950516	1.24085466627636	2.09637656232257
"CSF2RB"	3.6119926648488	2.57035363180701	5.408226126277	2.029818593104	1.38535372323457	1.75362806759083	2.00682939800561
"FOXP3"	1.8770472697266	1.14456525482621	3.53389968867811	0.60970721819793	1.33075342315634	1.13119435170845	0.667131870977789
"CST7"	6.28811950834648	3.6768428367283	5.04471322569492	2.8297034567466	5.45218027729667	2.11190935253964	2.25909769564036
"LGALS2"	5.69634581669661	2.73784464892889	5.40978804693739	2.93699026688023	0.888348541723989	0.51022621035374	1.8677581167391
"PTPN7"	4.57928274578288	2.53758681353647	4.96024294050529	1.50274557784155	1.11507986668633	1.60158480430272	1.40694748864322
"CLEC9A"	0.589607705854353	0.823538646238484	1.25787356254275	0.73368406179933	0	0.126545268984625	0.104558079735731
"CLNK"	0.239798225470669	0.161255014586349	0.554206701752635	0.170871739880324	0	0.0253275822027745	0.0567575429606303
"VNN2"	2.31834287469482	2.30000654660916	4.30415324412063	2.8332301463709	0.712736631668161	0.972798509017982	2.79235354864574
"APBB1IP"	4.06102873979401	3.09621377366902	5.52385360187816	3.81370937527646	1.54564224364213	3.0855886668065	2.60570292403629
"CTD.2370N5.3"	0	0	0	0	0	0	0
"SELPLG"	5.00294999830185	3.53930772678125	4.64554603830472	3.11778811676681	2.56749920667703	2.47613797725537	3.41106213623188
"GPR155"	2.24242263416197	2.09850209330041	3.75193497313185	2.95948733701182	2.7077235563764	2.21170844519559	0.784767371129175
